,Unnamed: 0,name,url,info,industry,turn,city
0,0,百炼智能,company/97865346,AI自动化知识内容创作服务商,industry.AI,phase.ANGEL,city.北京市
1,1,三加科技,company/93941968,人工智能家居设计平台,industry.AI,phase.B,city.北京市
2,2,梅卡曼德,company/177087,工业机器人智能解决方案提供商,industry.ROBOT,phase.A_PLUS,city.北京市
3,3,铁锹科技,company/61077242,大数据可视化分析及商业智能平台提供商,industry.SERVICE_INDUSTRIES,phase.SEED,city.北京市
4,4,北极星教育,company/30895103,AI教辅教学系统研发商,industry.EDUCATION_TRAINING,phase.A,city.北京市
5,5,云知声,company/6262,语音识别技术研发商,industry.AI,phase.D,city.北京市
6,6,清微智能,company/89381938,人工智能芯片及解决方案提供商,industry.AI,phase.ANGEL,city.北京市
7,7,葡萄智学,company/7312081,AI教育解决方案提供商,industry.AI,phase.ANGEL,city.北京市
8,8,小帮投资,company/93082440,智能投资顾问服务平台,industry.FINANCE,phase.A,city.北京市
9,9,极智嘉科技,company/100749,物流机器人及智能物流解决方案提供商,industry.LOGISTICS,phase.B,city.北京市
10,10,第四范式,company/33218,企业级人工智能PaaS平台研发商,industry.SERVICE_INDUSTRIES,phase.C,city.北京市
11,11,YI Tunnel,company/65932018,AI新零售技术解决方案提供商,industry.AI,phase.A,city.北京市
12,12,创新奇智,company/55891121,AI商业解决方案提供商,industry.AI,phase.A,city.北京市
13,13,AIface,company/71915456,AI人脸生成技术服务商,industry.AI,phase.ANGEL,city.北京市
14,14,学吧课堂,company/7492,中学生数学在线教育平台,industry.EDUCATION_TRAINING,phase.A_PLUS,city.北京市
15,15,秘塔科技,company/47363620,智能语义数据服务提供商,industry.AI,phase.ANGEL,city.北京市
16,16,石头科技,company/32435,扫地机器人制造商,industry.ROBOT,phase.C,city.北京市
17,17,恒安嘉新,company/14409909,网络与信息安全服务提供商,industry.SERVICE_INDUSTRIES,phase.D,city.北京市
18,18,让你火科技,company/77466719,社会热点话题PK社区,industry.MEDIA,phase.NONE,city.北京市
19,19,初速度科技,company/179967,自动驾驶技术研发商,industry.AI,phase.INFORMAL,city.北京市
20,20,光子算数,company/63789111,光子AI通用芯片研发生产商,industry.PEC,phase.NONE,city.北京市
21,21,商汤科技,company/24439,人工智能技术研发及服务商,industry.AI,phase.D,city.北京市
22,22,华瑞新智,company/59554519,人工智能服务引擎提供商,industry.AI,phase.A,city.北京市
23,23,Techsun,company/4459758,实体零售数字化全站解决方案提供商,industry.SERVICE_INDUSTRIES,phase.NONE,city.北京市
24,24,蓦然认知,company/132667,智能交互决策引擎研发商,industry.AI,phase.B,city.北京市
25,25,中科视语,company/80771242,AI解决方案和大数据服务商,industry.AI,phase.ANGEL,city.北京市
26,26,他山科技,company/24263763,人工智能触觉芯片研发商,industry.AI,phase.ANGEL,city.北京市
27,27,智行者科技,company/142327,自动驾驶智能汽车开发商,industry.AI,phase.B_PLUS,city.北京市
28,28,庖丁科技,company/89075252,AI金融数据结构化服务商,industry.AI,phase.ANGEL,city.北京市
29,29,地平线机器人,company/46064,人工智能解决方案提供商,industry.AI,phase.B,city.北京市
30,30,飓风预测,company/723597,人工智能投顾服务平台,industry.AI,phase.NONE,city.北京市
31,31,硅心科技,company/83438535,AI虚拟编程机器人研发商,industry.AI,phase.ANGEL,city.北京市
32,32,睿科伦,company/126750,智能聊天机器人研发商,industry.AI,phase.NONE,city.北京市
33,33,TOF远景立体视觉,company/2885229,机器视觉解决方案提供商,industry.AI,phase.NONE,city.北京市
34,34,探智立方,company/54797111,人工智能技术解决方案提供商,industry.AI,phase.ANGEL,city.北京市
35,35,AI音乐学院,company/81769438,智能互动音乐教学平台,industry.AI,phase.PRE_A,city.北京市
36,36,图灵机器人,company/30907,语音交互技术服务提供商,industry.AI,phase.B_PLUS,city.北京市
37,37,史河科技,company/2474023,爬壁机器人研发商,industry.ROBOT,phase.PRE_A,city.北京市
38,38,OKAY智慧教育,company/130833,AI教育服务提供商,industry.AI,phase.A,city.北京市
39,39,Vincross,company/37571,全地形六足机器人研发商,industry.ROBOT,phase.A_PLUS,city.北京市
40,40,宽凳科技,company/53642359,辅助驾驶高精地图提供商,industry.AUTO,phase.A,city.北京市
41,41,码客菠萝,company/88202236,青少年AI教育工具与内容云平台提供商,industry.EDUCATION_TRAINING,phase.SEED,city.北京市
42,42,思派网络,company/18681,肿瘤领域数据服务平台,industry.MEDICAL_HEALTH,phase.D,city.北京市
43,43,魔岛英语,company/45758750,人工智能英语学习平台,industry.AI,phase.A,city.北京市
44,44,阿凡达智能名片,company/27354161,Al智能营销型名片,industry.SERVICE_INDUSTRIES,phase.INFORMAL,city.北京市
45,45,桔子互动,company/72438909,聊天机器人研发服务商,industry.AI,phase.ANGEL,city.北京市
46,46,大艾机器人,company/116610,外骨骼康复训练机器人研发商,industry.ROBOT,phase.A,city.北京市
47,47,智铀科技,company/98769012,人工智能技术研发商,industry.AI,phase.PRE_A,city.北京市
48,48,大象保险,company/61580170,智能化保险服务平台,industry.FINANCE,phase.NONE,city.北京市
49,49,致远慧图,company/60189952,眼科影像AI医疗服务提供商,industry.MEDICAL_HEALTH,phase.A,city.北京市
50,50,中科视拓,company/161168,人脸识别技术服务提供商,industry.AI,phase.PRE_A,city.北京市
51,51,玩秘,company/57578,智能休闲娱乐生活助手APP,industry.CONSUMER_LIFESTYLE,phase.A,city.北京市
52,52,望石智慧,company/48115968,人工智能驱动新药研发商,industry.MEDICAL_HEALTH,phase.NONE,city.北京市
53,53,三角兽科技,company/117046,智能语义交互系统提供商,industry.AI,phase.B,city.北京市
54,54,MYNTAI小觅智能,company/22599,双目视觉定位导航设备研发商,industry.AI,phase.INFORMAL,city.北京市
55,55,得意音通,company/2281,声纹识别技术研发商,industry.AI,phase.A_PLUS,city.北京市
56,56,饭美美,company/125433,人工智能中餐标准化研发及制作的新型餐饮平台,industry.CONSUMER_LIFESTYLE,phase.A_PLUS,city.北京市
57,57,灵伴科技,company/57236,智能语音客服机器人研发商,industry.AI,phase.A_PLUS,city.北京市
58,58,医渡云,company/42944,医疗大数据服务平台,industry.MEDICAL_HEALTH,phase.A,city.北京市
59,59,中科创达,company/2394,智能终端操作系统及平台技术服务提供商,industry.SERVICE_INDUSTRIES,phase.IPO,city.北京市
60,60,爱数智慧,company/72548664,人工智能数据服务商,industry.AI,phase.A,city.北京市
61,61,驭势科技,company/154388,自动驾驶解决方案提供商,industry.INTELLIGENT_HARDWARE,phase.B,city.北京市
62,62,百应科技,company/165091,人工智能客服服务提供商,industry.AI,phase.A,city.北京市
63,63,智芯原动,company/32004,智能视频分析技术研发商,industry.AI,phase.B,city.北京市
64,64,先声教育,company/111388,AI教育服务商,industry.AI,phase.B,city.北京市
65,65,布科思科技,company/109743,机器人定位导航技术提供商,industry.ROBOT,phase.A,city.北京市
66,66,声智科技,company/103308,人工智能语音交互方案提供商,industry.AI,phase.B,city.北京市
67,67,盈科视控,company/39754837,机器视觉技术研发及应用服务商,industry.AI,phase.ANGEL,city.北京市
68,68,知乎,company/1118,在线问答知识社区平台,industry.SOCIAL_NETWORK,phase.E,city.北京市
69,69,杉数科技,company/151687,数据化决策方案服务公司,industry.SERVICE_INDUSTRIES,phase.A,city.北京市
70,70,小爱智能科技,company/39221072,人力资源AI技术供应商,industry.AI,phase.A,city.北京市
71,71,文因互联,company/100564,智能投研服务提供商,industry.FINANCE,phase.PRE_A,city.北京市
72,72,阿博茨科技,company/133526,AI云服务提供商,industry.AI,phase.B,city.北京市
73,73,透彻影像,company/70437356,人工智能病理辅助诊断技术开发商,industry.MEDICAL_HEALTH,phase.ANGEL,city.北京市
74,74,远形时空,company/135457,视觉SLAM技术研究及应用服务商,industry.AI,phase.A,city.北京市
75,75,思图场景,company/54644220,图像识别技术提供商,industry.AI,phase.PRE_A,city.北京市
76,76,澎峰科技,company/146268,AI领域性能优化解决方案提供商,industry.AI,phase.PRE_A,city.北京市
77,77,永洪科技,company/21795,数据可视化分析解决方案提供商,industry.SERVICE_INDUSTRIES,phase.C,city.北京市
78,78,铭台科技,company/156764,大数据应用和解决方案提供商,industry.SERVICE_INDUSTRIES,phase.A,city.北京市
79,79,强联智创,company/85318294,神经介入医疗器械和软件研发商,industry.MEDICAL_HEALTH,phase.ANGEL,city.北京市
80,80,时代拓灵,company/23538,智能音频软硬件技术提供商,industry.AI,phase.A,city.北京市
81,81,深度交叉科技,company/701411,智能投顾服务提供商,industry.FINANCE,phase.ANGEL,city.北京市
82,82,万灵云,company/151506,医学人工智能辅助诊断系统提供商,industry.MEDICAL_HEALTH,phase.PRE_A,city.北京市
83,83,云势软件,company/155947,生命科学领域云解决方案SaaS服务提供商,industry.SERVICE_INDUSTRIES,phase.B,city.北京市
84,84,一流科技,company/61226073,分布式深度学习平台解决方案提供商,industry.AI,phase.B,city.北京市
85,85,知因智慧,company/105096,金融大数据及知识图谱服务提供商,industry.SERVICE_INDUSTRIES,phase.A,city.北京市
86,86,格灵深瞳,company/8675,计算机视觉及深度学习技术研发商,industry.AI,phase.INFORMAL,city.北京市
87,87,声加科技,company/69012297,声学与语音交互技术研发商,industry.AI,phase.ANGEL,city.北京市
88,88,Airdoc,company/104504,影像辅助诊断AI医疗平台,industry.MEDICAL_HEALTH,phase.B_PLUS,city.北京市
89,89,深睿医疗,company/79121141,人工智能医疗影像系统研发商,industry.MEDICAL_HEALTH,phase.B,city.北京市
90,90,星尘数据,company/33474043,机器学习训练AI数据服务平台,industry.AI,phase.PRE_A,city.北京市
91,91,深动科技,company/90282622,自动驾驶解决方案提供商,industry.AI,phase.A,city.北京市
92,92,宙心科技,company/123594,人工智能产品平台及行业应用解决方案提供商,industry.AI,phase.PRE_A,city.北京市
93,93,数问科技,company/39530906,AI教育解决方案提供商,industry.EDUCATION_TRAINING,phase.ANGEL,city.北京市
94,94,爱因互动,company/45402567,智能客服研发商,industry.AI,phase.PRE_A,city.北京市
